*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
ASTR,Meliboea,0,72 km,3.124 AU,0.221,13.428°,107.128°,202.458°,225.048°,4.46 g/cm3,,,,,,,,,,,,193,6
ASTR,Loreley,0,90 km,3.125 AU,0.083,11.236°,350.85°,302.658°,128.932°,8.14 g/cm3,,,,,,,,,,,,194,6
ASTR,Hohensteina,0,52 km,3.126 AU,0.133,14.337°,48.469°,177.84°,172.396°,?,,,,,,,,,,,,195,6
ASTR,Elektra,3,100 km,3.127 AU,0.209,22.782°,237.588°,145.009°,87.758°,1.55 g/cm3,,,,,,,,,,,,196,6
*,☾,S/2014 (130) 2,1 km,344 km,0.33,?,,,,?,,,,,,,,,,,,197,6
*,☾,S/2014 (130) 1,1 km,501 km,0.03,?,,,,?,,,,,,,,,,,,198,6
*,☾,S/2003 (130) 1,3 km,"1,298 km",0.084,?,,,,?,,,,,,,,,,,,199,6
ASTR,Freda,0,55 km,3.129 AU,0.272,25.204°,251.951°,55.668°,1.093°,?,,,,,,,,,,,,200,6
ASTR,Eucharis,0,53 km,3.13 AU,0.204,18.89°,318.943°,143.224°,32.321°,?,,,,,,,,,,,,201,6
ASTR,Ophelia,0,65 km,3.133 AU,0.133,2.546°,56.849°,100.52°,11.164°,1.755 g/cm3,,,,,,,,,,,,202,6
ASTR,Aletheia,0,93 km,3.135 AU,0.128,10.813°,168.07°,86.864°,71.26°,2.16 g/cm3,,,,,,,,,,,,203,6
ASTR,Protogeneia,0,67 km,3.135 AU,0.028,1.931°,100.692°,248.357°,92.905°,14.13 g/cm3,,,,,,,,,,,,204,6
⚕,Hygiea,0,217 km,3.142 AU,0.119,3.842°,313.557°,283.646°,273.788°,2.002 g/cm3,,,,,,,,,,,,205,6
ASTR,Themis,0,104 km,3.143 AU,0.132,0.76°,107.989°,35.992°,185.968°,2.045 g/cm3,,,,,,,,,,,,206,6
ASTR,Wratislavia,0,67 km,3.145 AU,0.182,11.266°,114.819°,253.16°,53.487°,7.81 g/cm3,,,,,,,,,,,,207,6
ASTR,Nephele,0,51 km,3.145 AU,0.17,1.828°,216.161°,117.229°,230.611°,1.678 g/cm3,,,,,,,,,,,,208,6
ASTR,Mnemosyne,0,57 km,3.149 AU,0.118,15.2°,212.848°,199.337°,68.001°,16.62 g/cm3,,,,,,,,,,,,209,6
ASTR,Bianchini,0,6 km,3.149 AU,0.246,22.81°,132.43°,249.146°,191.383°,?,,,,,,,,,,,,210,6
ASTR,Bettina,0,61 km,3.149 AU,0.132,12.819°,76.692°,23.862°,56.902°,3.524 g/cm3,,,,,,,,,,,,211,6
ASTR,Dido,0,90 km,3.15 AU,0.058,7.17°,248.387°,0.683°,311.722°,?,,,,,,,,,,,,212,6
ASTR,Comacina,0,70 km,3.151 AU,0.045,13°,12.215°,166.898°,282.24°,?,,,,,,,,,,,,213,6
ASTR,Palma,0,87 km,3.151 AU,0.26,23.828°,115.582°,327.37°,275.769°,1.4 g/cm3,,,,,,,,,,,,214,6
ASTR,Klymene,0,67 km,3.153 AU,0.158,2.791°,32.134°,41.698°,101.498°,1.633 g/cm3,,,,,,,,,,,,215,6
ASTR,Euphrosyne,1,134 km,3.155 AU,0.221,26.303°,61.47°,31.119°,87.167°,1.65 g/cm3,,,,,,,,,,,,216,6
*,☾,S/2019 (31) 1,4 km,672 km,0.043,1.4°,,,,?,,,,,,,,,,,,217,6
ASTR,Pulcova,1,69 km,3.155 AU,0.103,13.089°,189.54°,305.76°,348.62°,0.9 g/cm3,,,,,,,,,,,,218,6
*,☾,S/2000 (762) 1,8 km,800 km,?,?,,,,?,,,,,,,,,,,,219,6
ASTR,Tauris,0,54 km,3.156 AU,0.31,21.835°,296.922°,88.857°,262.385°,1.74 g/cm3,,,,,,,,,,,,220,6
ASTR,Ninina,0,53 km,3.156 AU,0.074,15.064°,254.25°,137.809°,144.322°,?,,,,,,,,,,,,221,6
ASTR,Edith,0,42 km,3.158 AU,0.18,3.193°,140.13°,274.4°,114.65°,?,,,,,,,,,,,,222,6
ASTR,Aurora,0,102 km,3.16 AU,0.092,7.973°,60.826°,2.599°,132.718°,1.676 g/cm3,,,,,,,,,,,,223,6
ASTR,Princetonia,0,70 km,3.161 AU,0.008,13.337°,195.015°,44.223°,25.231°,2.09 g/cm3,,,,,,,,,,,,224,6
ASTR,Davida,0,149 km,3.163 AU,0.185,15.936°,338.694°,107.683°,124.997°,2.445 g/cm3,,,,,,,,,,,,225,6
ASTR,Philosophia,0,62 km,3.164 AU,0.191,9.154°,267.02°,326.254°,71.257°,?,,,,,,,,,,,,226,6
ASTR,Kreusa,0,75 km,3.169 AU,0.159,11.518°,71.366°,84.233°,197.665°,1.1 g/cm3,,,,,,,,,,,,227,6
ASTR,Veritas,0,57 km,3.172 AU,0.095,9.281°,194.39°,178.335°,31.094°,8.37 g/cm3,,,,,,,,,,,,228,6
ASTR,Dione,0,74 km,3.175 AU,0.167,4.597°,329.725°,62.163°,51.526°,1.83 g/cm3,,,,,,,,,,,,229,6
ASTR,Bredichina,0,53 km,3.177 AU,0.16,14.518°,133.61°,89.766°,267.56°,1.606 g/cm3,,,,,,,,,,,,230,6
ASTR,Argentina,0,63 km,3.181 AU,0.159,11.596°,209.588°,333.476°,153.115°,4.32 g/cm3,,,,,,,,,,,,231,6
ASTR,Udina,0,63 km,3.188 AU,0.104,9.929°,239.494°,101.588°,6.125°,4.39 g/cm3,,,,,,,,,,,,232,6
ASTR,Iduna,0,61 km,3.188 AU,0.168,22.66°,188.17°,200.5°,165.15°,?,,,,,,,,,,,,233,6
ASTR,Elfriede,0,60 km,3.189 AU,0.073,17.037°,228.138°,111.07°,142.019°,?,,,,,,,,,,,,234,6
ASTR,Alauda,1,95 km,3.195 AU,0.018,20.589°,349.49°,289.77°,311.58°,1.57 g/cm3,,,,,,,,,,,,235,6
*,☾,Pichi üñëm,2 km,"1,227 km",?,?,,,,?,,,,,,,,,,,,236,6
ASTR,Bertha,0,94 km,3.2 AU,0.077,20.972°,159.722°,36.744°,125.046°,2.69 g/cm3,,,,,,,,,,,,237,6
ASTR,Messalina,0,56 km,3.201 AU,0.169,11.204°,330.686°,333.638°,305.368°,?,,,,,,,,,,,,238,6
ASTR,Helio,0,55 km,3.202 AU,0.146,26.077°,178.108°,264.704°,241.229°,5.76 g/cm3,,,,,,,,,,,,239,6
ASTR,Myrrha,0,60 km,3.223 AU,0.09,12.558°,142.93°,125.102°,350.739°,9.32 g/cm3,,,,,,,,,,,,240,6
ASTR,Sibylla,0,75 km,3.382 AU,0.071,4.662°,173.92°,205.959°,171.517°,2.26 g/cm3,,,,,,,,,,,,241,6
ASTR,Stereoskopia,0,84 km,3.386 AU,0.117,4.886°,298.527°,79.644°,177.298°,?,,,,,,,,,,,,242,6
ASTR,Pretoria,0,83 km,3.412 AU,0.151,20.526°,38.637°,252.032°,87.115°,2.09 g/cm3,,,,,,,,,,,,243,6
ASTR,Bertholda,0,71 km,3.416 AU,0.031,6.687°,236.02°,242.661°,220.022°,9.96 g/cm3,,,,,,,,,,,,244,6
ASTR,Freia,0,92 km,3.418 AU,0.163,2.116°,254.07°,204.535°,299.268°,0.79 g/cm3,,,,,,,,,,,,245,6
ASTR,Adelinda,0,47 km,3.422 AU,0.139,2.079°,311.263°,28.049°,78.04°,?,,,,,,,,,,,,246,6
ASTR,Cybele,0,132 km,3.428 AU,0.111,3.563°,102.37°,155.63°,168.06°,1.55 g/cm3,,,,,,,,,,,,247,6
ASTR,Huberta,0,47 km,3.444 AU,0.115,6.416°,180.996°,165.393°,110.638°,?,,,,,,,,,,,,248,6
ASTR,Hermione,1,95 km,3.448 AU,0.133,7.598°,298.18°,73.127°,157.08°,1.8 g/cm3,,,,,,,,,,,,249,6
*,☾,S/2002 (121) 1,7 km,768 km,0.001,?,,,,?,,,,,,,,,,,,250,6
ASTR,Sylvia,2,136 km,3.48 AU,0.08,10.856°,266.048°,73.33°,53.356°,1.378 g/cm3,,,,,,,,,,,,251,6
*,☾,Remus,3 km,706 km,?,?,,,,?,,,,,,,,,,,,252,6
*,☾,Romulus,5 km,"1,356 km",?,?,,,,?,,,,,,,,,,,,253,6
ASTR,Camilla,2,127 km,3.491 AU,0.066,10.001°,306.77°,172.61°,265.91°,1.34 g/cm3,,,,,,,,,,,,254,6
*,☾,S/2016 (107) 1,2 km,644 km,0.18,27.7°,,,,,,,,,,,,,,,,255,6
*,☾,S/2001 (107) 1,7 km,"1,248 km",0,16°,,,,,,,,,,,,,,,,256,6
ASTR,Merapi,0,77 km,3.498 AU,0.086,19.425°,295.862°,59.239°,302.4°,13.36 g/cm3,,,,,,,,,,,,257,6
ASTR,Ulla,0,58 km,3.543 AU,0.091,18.797°,232.64°,146.35°,180.34°,?,,,,,,,,,,,,258,6
ASTR,Helga,0,50 km,3.633 AU,0.084,4.417°,246.503°,116.683°,200.06°,?,,,,,,,,,,,,259,6
ASTR,Chicago,0,87 km,3.895 AU,0.022,4.641°,148.31°,130.179°,110.236°,?,,,,,,,,,,,,260,6
ASTR,Rollandia,0,53 km,3.902 AU,0.1,2.759°,19.46°,134.71°,352.88°,?,,,,,,,,,,,,261,6
ASTR,Simeïsa,0,53 km,3.947 AU,0.188,2.259°,177.73°,265.46°,324.14°,?,,,,,,,,,,,,262,6
ASTR,Bononia,0,71 km,3.96 AU,0.214,12.626°,68.364°,18.874°,329.195°,?,,,,,,,,,,,,263,6
ASTR,Hilda,0,85 km,3.978 AU,0.14,7.825°,38.617°,228.16°,51.69°,?,,,,,,,,,,,,264,6
ASTR,Ismene,0,85 km,3.986 AU,0.166,6.177°,271.47°,175.48°,134.92°,?,,,,,,,,,,,,265,6
ASTR,Thule,0,63 km,4.349 AU,0.026,2.324°,42.368°,72.468°,62.759°,?,,,,,,,,,,,,266,6
TRJN,Deiphobus,0,59 km,5.128 AU,0.044,26.914°,359.19°,283.71°,229.96°,?,,,,,,,,,,,,267,8
TRJN,Antilochus,0,54 km,5.13 AU,0.052,28.512°,187.27°,221.38°,256.95°,?,,,,,,,,,,,,268,8
TRJN,Mentor,0,63 km,5.138 AU,0.069,24.654°,131.49°,179.66°,236.39°,?,,,,,,,,,,,,269,8
TRJN,Nestor,0,55 km,5.17 AU,0.118,4.521°,342.74°,350.78°,308.33°,?,,,,,,,,,,,,270,8
TRJN,Polymele,1,11 km,5.18 AU,0.097,12.981°,4.772°,50.319°,44.314°,0.85 g/cm3,,,,,,,,,,,,271,8
*,☾,S/2022 (15094) 1,3 km,204 km,?,?,,,,?,,,,,,,,,,,,272,8
TRJN,Priamus,0,55 km,5.182 AU,0.122,8.915°,335.46°,301.56°,257.84°,?,,,,,,,,,,,,273,8
TRJN,Alcathous,0,57 km,5.182 AU,0.067,16.627°,291.8°,267.99°,313.95°,?,,,,,,,,,,,,274,8
TRJN,Diomedes,0,59 km,5.198 AU,0.044,20.485°,130.93°,315.8°,234.43°,?,,,,,,,,,,,,275,8
♃,Jupiter,95,"69,911 km",5.204 AU,0.049,1.303°,273.867°,100.464°,20.02°,1.326 g/cm3,,,,,,,,,,,,276,7
*,☾,Metis,22 km,"128,000 km",0,?,,,,1.5 g/cm3,,,,,,,,,,,,277,7
*,☾,Adrastea,8 km,"129,000 km",0.002,?,,,,?,,,,,,,,,,,,278,7
*,☾,Amalthea,84 km,"181,366 km",0.003,?,,,,0.857 g/cm3,,,,,,,,,,,,279,7
*,☾,Thebe,49 km,"221,890 km",0.018,?,,,,?,,,,,,,,,,,,280,7
*,☾,Io,"1,822 km","421,700 km",0.004,2.213°,,,,3.528 g/cm3,,,,,,,,,,,,281,7
*,☾,Europa,"1,561 km","670,900 km",0.009,1.791°,,,,3.013 g/cm3,,,,,,,,,,,,282,7
*,☾,Ganymede,"2,634 km","1,070,400 km",0.001,2.214°,,,,1.936 g/cm3,,,,,,,,,,,,283,7
*,☾,Callisto,"2,410 km","1,882,700 km",0.007,2.017°,,,,1.834 g/cm3,,,,,,,,,,,,284,7
*,☾,Themisto,5 km,"7,396,130 km",0.252,45.281°,,,,?,,,,,,,,,,,,285,7
*,☾,Leda,11 km,"11,195,980 km",0.165,27.636°,,,,?,,,,,,,,,,,,286,7
*,☾,Himalia,70 km,"11,388,690 km",0.154,29.909°,,,,1.63 g/cm3,,,,,,,,,,,,287,7
*,☾,Ersa,2 km,"11,401,000 km",0.116,29.1°,,,,?,,,,,,,,,,,,288,7
*,☾,S/2018 J (♃) 2,2 km,"11,467,500 km",0.118,29.404°,,,,?,,,,,,,,,,,,289,7
*,☾,Pandia,2 km,"11,481,000 km",0.179,29°,,,,?,,,,,,,,,,,,290,7
*,☾,Lysithea,21 km,"11,700,710 km",0.148,26.293°,,,,?,,,,,,,,,,,,291,7
*,☾,Elara,40 km,"11,703,130 km",0.196,30.517°,,,,?,,,,,,,,,,,,292,7
*,☾,S/2011 J (♃) 3,2 km,"11,797,170 km",0.176,28.659°,,,,?,,,,,,,,,,,,293,7
*,☾,Dia,2 km,"12,118,000 km",0.211,28.23°,,,,?,,,,,,,,,,,,294,7
*,☾,S/2018 J (♃) 4,1 km,"16,328,500 km",0.177,50.2°,,,,?,,,,,,,,,,,,295,7
*,☾,Carpo,2 km,"17,042,300 km",0.416,54°,,,,?,,,,,,,,,,,,296,7
*,☾,Valetudo,500 m,"18,819,020 km",0.202,32.033°,,,,?,,,,,,,,,,,,297,7
*,☾,Euporie,1 km,"19,302,000 km",0.144,145.7°,,,,?,,,,,,,,,,,,298,7
*,☾,S/2003 J (♃) 18,1 km,"20,274,000 km",0.051,143.5°,,,,?,,,,,,,,,,,,299,7
*,☾,S/2010 J (♃) 2,500 m,"20,307,150 km",0.307,?,,,,?,,,,,,,,,,,,300,7
*,☾,S/2003 J (♃) 16,1 km,"20,512,500 km",0.333,151.163°,,,,?,,,,,,,,,,,,301,7
*,☾,S/2022 J (♃) 3,500 m,"20,552,070 km",0.213,145.732°,,,,?,,,,,,,,,,,,302,7
*,☾,S/2003 J (♃) 2,1 km,"20,554,390 km",0.278,149.204°,,,,?,,,,,,,,,,,,303,7
*,☾,S/2017 J (♃) 7,1 km,"20,627,000 km",0.215,?,,,,?,,,,,,,,,,,,304,7
*,☾,S/2016 J (♃) 1,500 m,"20,650,845 km",0.141,?,,,,?,,,,,,,,,,,,305,7
*,☾,Hermippe,2 km,"20,665,870 km",0.198,146.76°,,,,?,,,,,,,,,,,,306,7
*,☾,S/2021 J (♃) 1,500 m,"20,667,230 km",0.246,149.753°,,,,?,,,,,,,,,,,,307,7
*,☾,S/2017 J (♃) 3,1 km,"20,694,000 km",0.148,?,,,,?,,,,,,,,,,,,308,7
*,☾,Euanthe,2 km,"20,799,000 km",0.232,148.9°,,,,?,,,,,,,,,,,,309,7
*,☾,Thyone,2 km,"20,940,000 km",0.229,148.5°,,,,?,,,,,,,,,,,,310,7
*,☾,Ananke,15 km,"21,042,470 km",0.175,148.675°,,,,1.3 g/cm3,,,,,,,,,,,,311,7
*,☾,Mneme,1 km,"21,069,000 km",0.227,149°,,,,?,,,,,,,,,,,,312,7
*,☾,S/2021 J (♃) 2,500 m,"21,140,630 km",0.341,150.114°,,,,?,,,,,,,,,,,,313,7
*,☾,Praxidike,4 km,"21,147,000 km",0.23,149°,,,,?,,,,,,,,,,,,314,7
*,☾,Thelxinoe,1 km,"21,162,000 km",0.221,151°,,,,?,,,,,,,,,,,,315,7
*,☾,Orthosie,1 km,"21,170,540 km",0.484,148.487°,,,,?,,,,,,,,,,,,316,7
*,☾,Eupheme,1 km,"21,199,710 km",0.253,146°,,,,?,,,,,,,,,,,,317,7
*,☾,Harpalyke,2 km,"21,280,180 km",0.16,148.298°,,,,?,,,,,,,,,,,,318,7
*,☾,Helike,2 km,"21,263,000 km",0.156,154.8°,,,,?,,,,,,,,,,,,319,7
*,☾,Iocaste,3 km,"21,431,650 km",0.329,149.425°,,,,?,,,,,,,,,,,,320,7
*,☾,S/2017 J (♃) 9,2 km,"21,487,000 km",0.229,152.7°,,,,?,,,,,,,,,,,,321,7
*,☾,S/2021 J (♃) 3,1 km,"21,495,670 km",0.356,150.104°,,,,?,,,,,,,,,,,,322,7
*,☾,S/2003 J (♃) 12,600 m,"21,557,740 km",0.366,154.69°,,,,2.6 g/cm3,,,,,,,,,,,,323,7
*,☾,S/2003 J (♃) 4,1 km,"22,048,570 km",0.497,149.401°,,,,?,,,,,,,,,,,,324,7
*,☾,S/2016 J (♃) 3,1 km,"22,213,530 km",0.236,164.066°,,,,?,,,,,,,,,,,,325,7
*,☾,Erinome,2 km,"22,354,200 km",0.205,164.82°,,,,?,,,,,,,,,,,,326,7
*,☾,S/2017 J (♃) 6,1 km,"22,455,000 km",0.557,?,,,,?,,,,,,,,,,,,327,7
*,☾,S/2011 J (♃) 1,1 km,"22,462,000 km",0.233,?,,,,?,,,,,,,,,,,,328,7
*,☾,Taygete,3 km,"22,546,240 km",0.249,165.952°,,,,?,,,,,,,,,,,,329,7
*,☾,Carme,23 km,"22,579,850 km",0.23,163.535°,,,,1.63 g/cm3,,,,,,,,,,,,330,7
*,☾,S/2003 J (♃) 19,1 km,"22,757,000 km",0.257,165°,,,,?,,,,,,,,,,,,331,7
*,☾,Philophrosyne,1 km,"22,819,950 km",0.194,142°,,,,?,,,,,,,,,,,,332,7
*,☾,S/2018 J (♃) 3,500 m,"22,826,560 km",0.273,164.9°,,,,?,,,,,,,,,,,,333,7
*,☾,S/2021 J (♃) 5,1 km,"22,831,780 km",0.2,163.175°,,,,?,,,,,,,,,,,,334,7
*,☾,S/2003 J (♃) 10,1 km,"22,857,000 km",0.153,162.994°,,,,?,,,,,,,,,,,,335,7
*,☾,Arche,2 km,"22,931,000 km",0.259,165°,,,,?,,,,,,,,,,,,336,7
*,☾,S/2021 J (♃) 4,500 m,"22,946,680 km",0.159,164.547°,,,,?,,,,,,,,,,,,337,7
*,☾,Pasithee,1 km,"22,967,990 km",0.21,164.728°,,,,?,,,,,,,,,,,,338,7
*,☾,Autonoe,2 km,"23,039,000 km",0.334,152.9°,,,,?,,,,,,,,,,,,339,7
*,☾,S/2003 J (♃) 24,2 km,"23,088,000 km",0.25,162°,,,,?,,,,,,,,,,,,340,7
*,☾,Herse,1 km,"23,097,000 km",0.2,165°,,,,?,,,,,,,,,,,,341,7
*,☾,Pasiphae,29 km,"23,208,940 km",0.611,153.409°,,,,1.7 g/cm3,,,,,,,,,,,,342,7
*,☾,Eurydome,2 km,"23,214,490 km",0.298,150.289°,,,,?,,,,,,,,,,,,343,7
*,☾,Aitne,2 km,"23,231,000 km",0.264,165.1°,,,,?,,,,,,,,,,,,344,7
*,☾,S/2017 J (♃) 5,1 km,"23,232,000 km",0.284,?,,,,?,,,,,,,,,,,,345,7
*,☾,S/2017 J (♃) 8,500 m,"23,232,700 km",0.312,?,,,,?,,,,,,,,,,,,346,7
*,☾,S/2017 J (♃) 2,1 km,"23,303,000 km",0.236,?,,,,?,,,,,,,,,,,,347,7
*,☾,S/2010 J (♃) 1,1 km,"23,314,335 km",0.32,?,,,,?,,,,,,,,,,,,348,7
*,☾,Isonoe,2 km,"23,322,670 km",0.226,164.459°,,,,?,,,,,,,,,,,,349,7
*,☾,S/2021 J (♃) 6,500 m,"23,427,220 km",0.363,166.5°,,,,?,,,,,,,,,,,,350,7
*,☾,S/2011 J (♃) 2,500 m,"23,463,885 km",0.332,?,,,,?,,,,,,,,,,,,351,7
*,☾,Sponde,1 km,"23,487,000 km",0.312,154°,,,,?,,,,,,,,,,,,352,7
*,☾,Kale,1 km,"23,512,340 km",0.289,166.177°,,,,?,,,,,,,,,,,,353,7
*,☾,S/2017 J (♃) 1,1 km,"23,547,105 km",0.397,?,,,,?,,,,,,,,,,,,354,7
*,☾,Eukelade,2 km,"23,661,000 km",0.272,165.5°,,,,?,,,,,,,,,,,,355,7
*,☾,S/2016 J (♃) 4,500 m,"23,664,140 km",0.199,146.255°,,,,?,,,,,,,,,,,,356,7
*,☾,Eirene,2 km,"23,731,770 km",0.241,162.713°,,,,?,,,,,,,,,,,,357,7
*,☾,Megaclite,3 km,"23,736,190 km",0.41,143.202°,,,,?,,,,,,,,,,,,358,7
*,☾,S/2022 J (♃) 1,1 km,"23,769,050 km",0.136,165.941°,,,,?,,,,,,,,,,,,359,7
*,☾,S/2022 J (♃) 2,500 m,"23,811,640 km",0.177,165.292°,,,,?,,,,,,,,,,,,360,7
*,☾,Hegemone,2 km,"23,947,000 km",0.328,155.2°,,,,?,,,,,,,,,,,,361,7
*,☾,Aoede,3 km,"23,981,000 km",0.432,158.3°,,,,2.6 g/cm3,,,,,,,,,,,,362,7
*,☾,Chaldene,2 km,"24,006,280 km",0.15,164.254°,,,,?,,,,,,,,,,,,363,7
*,☾,Kallichore,1 km,"24,043,000 km",0.264,165°,,,,?,,,,,,,,,,,,364,7
*,☾,Kalyke,4 km,"24,147,770 km",0.303,165.937°,,,,?,,,,,,,,,,,,365,7
*,☾,S/2003 J (♃) 9,500 m,"24,168,660 km",0.17,166.334°,,,,?,,,,,,,,,,,,366,7
*,☾,Cyllene,1 km,"24,349,000 km",0.319,140.149°,,,,?,,,,,,,,,,,,367,7
*,☾,Sinope,18 km,"24,371,650 km",0.337,158.638°,,,,?,,,,,,,,,,,,368,7
*,☾,Kore,1 km,"24,543,000 km",0.325,141°,,,,?,,,,,,,,,,,,369,7
*,☾,Callirrhoe,5 km,"24,583,090 km",0.31,147.998°,,,,?,,,,,,,,,,,,370,7
*,☾,S/2003 J (♃) 23,1 km,"24,678,190 km",0.321,146.155°,,,,?,,,,,,,,,,,,371,7
TRJN,Eurybates,1,35 km,5.206 AU,0.091,8.054°,27.481°,43.542°,27.507°,1.1 g/cm3,,,,,,,,,,,,372,8
*,☾,Queta,1 km,"2,350 km",0.125,155°,,,,?,,,,,,,,,,,,373,8
TRJN,Patroclus,1,70 km,5.209 AU,0.14,22.062°,308.306°,44.36°,319.506°,0.88 g/cm3,,,,,,,,,,,,374,8
*,☾,Menoetius,52 km,680 km,?,?,,,,?,,,,,,,,,,,,375,8
TRJN,Achilles,0,65 km,5.209 AU,0.146,10.318°,133.5°,316.54°,205.11°,?,,,,,,,,,,,,376,8
TRJN,Makhaon,0,57 km,5.211 AU,0.058,12.162°,205.34°,287.87°,201.39°,?,,,,,,,,,,,,377,8
TRJN,Leonteus,0,56 km,5.215 AU,0.089,20.902°,262.99°,200.51°,194.79°,?,,,,,,,,,,,,378,8
TRJN,Äneas,0,59 km,5.218 AU,0.104,16.664°,50.803°,247.33°,238.45°,?,,,,,,,,,,,,379,8
TRJN,Paris,0,60 km,5.222 AU,0.127,27.866°,149.91°,135.9°,245.6°,?,,,,,,,,,,,,380,8
TRJN,Odysseus,0,58 km,5.249 AU,0.089,3.137°,236.63°,221.28°,183.79°,?,,,,,,,,,,,,381,8
TRJN,Troilus,0,52 km,5.251 AU,0.091,33.542°,296.06°,48.546°,189.17°,?,,,,,,,,,,,,382,8
TRJN,Hektor,1,125 km,5.257 AU,0.024,18.166°,185.22°,342.79°,136.09°,1.687 g/cm3,,,,,,,,,,,,383,8
*,☾,Skamandrios,6 km,624 km,0.31,?,,,,?,,,,,,,,,,,,384,8
TRJN,Agamemnon,0,66 km,5.277 AU,0.066,21.763°,80.874°,338.01°,236.05°,?,,,,,,,,,,,,385,8
TRJN,Anchises,0,50 km,5.296 AU,0.137,6.92°,40.496°,283.91°,184.44°,?,,,,,,,,,,,,386,8
TRJN,Leucus,0,21 km,5.302 AU,0.066,11.546°,160.955°,251.087°,43.784°,?,,,,,,,,,,,,387,8
TRJN,Orus,0,30 km,5.318 AU,0.038,8.469°,181.258°,258.554°,356.275°,?,,,,,,,,,,,,388,8
♄,Saturn,274,"58,232 km",9.583 AU,0.057,2.485°,339.392°,113.665°,317.020°,0.687 g/cm3,,,,,,,,,,,,389,9
*,☾,S/2009 S (♄) 1,150 m,"116,914 km",0,?,,,,?,,,,,,,,,,,,390,9
*,☾,Pan,14 km,"133,584 km",0,?,,,,0.4 g/cm3,,,,,,,,,,,,391,9
*,☾,Daphnis,4 km,"136,506 km",0,?,,,,0.276 g/cm3,,,,,,,,,,,,392,9
*,☾,Atlas,15 km,"137,670 km",0.001,?,,,,0.394 g/cm3,,,,,,,,,,,,393,9
*,☾,Prometheus,43 km,"139,380 km",0.002,?,,,,0.487 g/cm3,,,,,,,,,,,,394,9
*,☾,Pandora,40 km,"141,720 km",0.004,?,,,,0.505 g/cm3,,,,,,,,,,,,395,9
*,☾,Epimetheus,59 km,"151,410 km",0.01,?,,,,0.623 g/cm3,,,,,,,,,,,,396,9
*,☾,Janus,89 km,"151,460 km",0.007,?,,,,0.641 g/cm3,,,,,,,,,,,,397,9
*,☾,Aegaeon,330 m,"167,494 km",0,?,,,,0.539 g/cm3,,,,,,,,,,,,398,9
*,☾,Mimas,198 km,"185,539 km",0.02,?,,,,1.15 g/cm3,,,,,,,,,,,,399,9
*,☾,Methone,2 km,"194,700 km",0.002,?,,,,0.307 g/cm3,,,,,,,,,,,,400,9
*,☾,Anthe,900 m,"197,700 km",0.001,?,,,,0.5 g/cm3,,,,,,,,,,,,401,9
*,☾,Pallene,2 km,"212,300 km",0.004,?,,,,0.251 g/cm3,,,,,,,,,,,,402,9
*,☾,Enceladus,252 km,"237,498 km",0.005,?,,,,1.61 g/cm3,,,,,,,,,,,,403,9
*,☾,Tethys,531 km,"294,619 km",0,?,,,,0.984 g/cm3,,,,,,,,,,,,404,9
*,☾,Telesto,12 km,"295,000 km",0.001,?,,,,0.5 g/cm3,,,,,,,,,,,,405,9
*,☾,Calypso,10 km,"295,000 km",0.001,?,,,,0.5 g/cm3,,,,,,,,,,,,406,9
*,☾,Dione,561 km,"377,396 km",0.002,?,,,,1.478 g/cm3,,,,,,,,,,,,407,9
*,☾,Helene,18 km,"377,600 km",0.007,?,,,,0.293 g/cm3,,,,,,,,,,,,408,9
*,☾,Polydeuces,2 km,"377,600 km",0.002,?,,,,0.5 g/cm3,,,,,,,,,,,,409,9
*,☾,Rhea,764 km,"527,040 km",0.001,?,,,,1.237 g/cm3,,,,,,,,,,,,410,9
*,☾,Titan,"2,575 km","1,221,870 km",0.029,?,,,,1.88 g/cm3,,,,,,,,,,,,411,9
*,☾,Hyperion,135 km,"1,481,009 km",0.123,?,,,,0.539 g/cm3,,,,,,,,,,,,412,9
*,☾,Iapetus,735 km,"3,560,820 km",0.028,17.28°,,,,1.089 g/cm3,,,,,,,,,,,,413,9
*,☾,S/2023 S (♄) 1,2 km,"11,205,400 km",0.386,48.8°,,,,?,,,,,,,,,,,,414,9
*,☾,S/2019 S (♄) 1,3 km,"11,221,100 km",0.623,44.4°,,,,?,,,,,,,,,,,,415,9
*,☾,S/2004 S (♄) 54,2 km,"11,277,500 km",0.373,48.1°,,,,?,,,,,,,,,,,,416,9
*,☾,S/2004 S (♄) 55,2 km,"11,294,700 km",0.26,48.9°,,,,?,,,,,,,,,,,,417,9
*,☾,S/2020 S (♄) 11,2 km,"11,295,600 km",0.372,48.2°,,,,?,,,,,,,,,,,,418,9
*,☾,S/2019 S (♄) 22,2 km,"11,305,100 km",0.369,47.3°,,,,?,,,,,,,,,,,,419,9
*,☾,Kiviuq,9 km,"11,307,000 km",0.182,48.9°,,,,?,,,,,,,,,,,,420,9
*,☾,S/2023 S (♄) 2,2 km,"11,309,900 km",0.339,45.7°,,,,?,,,,,,,,,,,,421,9
*,☾,S/2019 S (♄) 23,2 km,"11,310,200 km",0.255,48.7°,,,,?,,,,,,,,,,,,422,9
*,☾,S/2020 S (♄) 12,2 km,"11,314,500 km",0.26,50.8°,,,,?,,,,,,,,,,,,423,9
